series,series-href,title,mid,mid-href
"Star Fox","http://www.ninsheetmusic.org/browse/series/StarFox","Starwolf","","http://www.ninsheetmusic.org/download/mid/45"
"Sonic","http://www.ninsheetmusic.org/browse/series/Sonic","Endless Mine","","http://www.ninsheetmusic.org/download/mid/175"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Fair is Foul","","http://www.ninsheetmusic.org/download/mid/2411"
"Ace Attorney","http://www.ninsheetmusic.org/browse/series/AceAttorney","Testimony Moderato","","http://www.ninsheetmusic.org/download/mid/475"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Washing Epona","","http://www.ninsheetmusic.org/download/mid/156"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","DK Island Swing","","http://www.ninsheetmusic.org/download/mid/25"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","City Square","","http://www.ninsheetmusic.org/download/mid/2392"
"Super Smash Bros.","http://www.ninsheetmusic.org/browse/series/SuperSmashBros","The Roost (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/1234"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","Battle for Storm Hill","","http://www.ninsheetmusic.org/download/mid/731"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Air Man","","http://www.ninsheetmusic.org/download/mid/613"
"Sonic","http://www.ninsheetmusic.org/browse/series/Sonic","Hydrocity Zone Act 2","","http://www.ninsheetmusic.org/download/mid/1238"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","World 3","","http://www.ninsheetmusic.org/download/mid/1365"
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Weird Woods","","http://www.ninsheetmusic.org/download/mid/2564"
"Metroid","http://www.ninsheetmusic.org/browse/series/Metroid","Ending and Credits","","http://www.ninsheetmusic.org/download/mid/1524"
"More...","http://www.ninsheetmusic.org/browse/series/Other","The Train","","http://www.ninsheetmusic.org/download/mid/2118"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","The Evil King Bowser","","http://www.ninsheetmusic.org/download/mid/1835"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Charge Man Stage","","http://www.ninsheetmusic.org/download/mid/2777"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Shining Force","null",""
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Poképad (Pause Menu)","","http://www.ninsheetmusic.org/download/mid/1233"
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Grunty Industries (Basement)","","http://www.ninsheetmusic.org/download/mid/1038"
"More...","http://www.ninsheetmusic.org/browse/series/Other","ANAK","","http://www.ninsheetmusic.org/download/mid/1105"
"Sonic","http://www.ninsheetmusic.org/browse/series/Sonic","Sonic and the Secret Rings","null",""
"Golden Sun","http://www.ninsheetmusic.org/browse/series/GoldenSun","Ivan's Theme","","http://www.ninsheetmusic.org/download/mid/2065"
"Fire Emblem","http://www.ninsheetmusic.org/browse/series/FireEmblem","Fire Emblem: Shadow Dragon and the Blade of Light","null",""
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Pokémon FireRed Version & Pokémon LeafGreen Version","null",""
"More...","http://www.ninsheetmusic.org/browse/series/Other","Moonlight","","http://www.ninsheetmusic.org/download/mid/2862"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Tumbler","","http://www.ninsheetmusic.org/download/mid/729"
"More...","http://www.ninsheetmusic.org/browse/series/Other","PianoX3","","http://www.ninsheetmusic.org/download/mid/3531"
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Highwind Takes to the Skies","","http://www.ninsheetmusic.org/download/mid/1432"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Unforgotten","","http://www.ninsheetmusic.org/download/mid/640"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Hoist the Sword with Pride in the Heart","","http://www.ninsheetmusic.org/download/mid/3307"
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Successor of Fate (Theme of Juste Belmont)","","http://www.ninsheetmusic.org/download/mid/2611"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Puppet's Music Box","","http://www.ninsheetmusic.org/download/mid/2485"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Wind Scene","","http://www.ninsheetmusic.org/download/mid/546"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Underground","","http://www.ninsheetmusic.org/download/mid/720"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Title Screen","","http://www.ninsheetmusic.org/download/mid/1062"
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Dark Covenant (Theme of Death)","","http://www.ninsheetmusic.org/download/mid/2609"
"More...","http://www.ninsheetmusic.org/browse/series/Other","World of Goo","null",""
"More...","http://www.ninsheetmusic.org/browse/series/Other","The Youkai Girl at the Gate","","http://www.ninsheetmusic.org/download/mid/3300"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Credits","","http://www.ninsheetmusic.org/download/mid/109"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Ocarina Melodies","","http://www.ninsheetmusic.org/download/mid/2856"
"Dragon Quest","http://www.ninsheetmusic.org/browse/series/DragonQuest","Painful Feelings","","http://www.ninsheetmusic.org/download/mid/2395"
"Donkey Kong","http://www.ninsheetmusic.org/browse/series/DonkeyKong","Dino Domain","","http://www.ninsheetmusic.org/download/mid/396"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Great Sea","","http://www.ninsheetmusic.org/download/mid/139"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Battle with Blooper!","","http://www.ninsheetmusic.org/download/mid/1265"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Into the Skies","","http://www.ninsheetmusic.org/download/mid/2637"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Princess Zelda","","http://www.ninsheetmusic.org/download/mid/3477"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Epic Battle Fantasy 4","null",""
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Title Screen","","http://www.ninsheetmusic.org/download/mid/3502"
"Ace Attorney","http://www.ninsheetmusic.org/browse/series/AceAttorney","Pursuit ~ Cornered (Two Pianos)","","http://www.ninsheetmusic.org/download/mid/878"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Overworld Theme","","http://www.ninsheetmusic.org/download/mid/2537"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Airships","","http://www.ninsheetmusic.org/download/mid/854"
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Battle! (Gym Leader—Kanto Version)","","http://www.ninsheetmusic.org/download/mid/904"
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Ending ""Requiem""","","http://www.ninsheetmusic.org/download/mid/166"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Palm Brinks","","http://www.ninsheetmusic.org/download/mid/670"
"Metroid","http://www.ninsheetmusic.org/browse/series/Metroid","Title Screen","","http://www.ninsheetmusic.org/download/mid/1411"
"Kirby","http://www.ninsheetmusic.org/browse/series/Kirby","Lava Landing","","http://www.ninsheetmusic.org/download/mid/1013"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Princess Toadstool's Victory","","http://www.ninsheetmusic.org/download/mid/1136"
"Castlevania","http://www.ninsheetmusic.org/browse/series/Castlevania","Voyager","","http://www.ninsheetmusic.org/download/mid/2617"
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","The Legend of Zelda: Skyward Sword","null",""
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Hall of the Thousand-Year Door","","http://www.ninsheetmusic.org/download/mid/2492"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Cortez Battle","","http://www.ninsheetmusic.org/download/mid/98"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Mario & Luigi: Bowser's Inside Story","null",""
"The Legend of Zelda","http://www.ninsheetmusic.org/browse/series/TheLegendofZelda","Guardian","","http://www.ninsheetmusic.org/download/mid/2297"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Star Catch Fanfare","","http://www.ninsheetmusic.org/download/mid/2976"
"Super Mario","http://www.ninsheetmusic.org/browse/series/SuperMario","Library","","http://www.ninsheetmusic.org/download/mid/1423"
"Fire Emblem","http://www.ninsheetmusic.org/browse/series/FireEmblem","Shaman in the Dark","","http://www.ninsheetmusic.org/download/mid/607"
"Mega Man","http://www.ninsheetmusic.org/browse/series/MegaMan","Crystal Man Stage","","http://www.ninsheetmusic.org/download/mid/2814"
"Animal Crossing","http://www.ninsheetmusic.org/browse/series/AnimalCrossing","K.K. Moody","","http://www.ninsheetmusic.org/download/mid/2483"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Touhou 8: Imperishable Night","null",""
"Banjo-Kazooie","http://www.ninsheetmusic.org/browse/series/BanjoKazooie","Spiral Mountain","","http://www.ninsheetmusic.org/download/mid/283"
"Final Fantasy","http://www.ninsheetmusic.org/browse/series/FinalFantasy","Castle Pandemonium","","http://www.ninsheetmusic.org/download/mid/190"
"Tales","http://www.ninsheetmusic.org/browse/series/Tales","Fighting of the Spirit","","http://www.ninsheetmusic.org/download/mid/51"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Fish On!","","http://www.ninsheetmusic.org/download/mid/815"
"More...","http://www.ninsheetmusic.org/browse/series/Other","Hamtaro: Ham-Ham Heartbreak","null",""
"Pokémon","http://www.ninsheetmusic.org/browse/series/Pokemon","Bicycle","","http://www.ninsheetmusic.org/download/mid/2214"
